PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
617,1,0,0,,,,,,1.9,,,1.5,,,2,,,0,
283,1,1,0,,,,,,4.3,,,3,,,5.5,,,3.7,
75,0,0,0,M,,,3,2.9,4.1,1.17,3.5,4,0.54,2.9,4,1.13,1.9,1.3,-0.57
1019,1,0,0,L,,,3,2.2,3.5,1.26,2.8,4,1.18,2,3,0.98,1.2,2,0.84
474,0,0,0,L,3C,3B,N,1.7,2.9,1.21,2.2,3,0.76,1.3,3,1.65,0.7,2,1.28
20,0,0,0,H,5B,5C,5C,5.8,6.6,0.74,6,7,1.03,5.9,7,1.13,5.6,5.5,-0.08
313,0,0,0,,,,,,2.9,,,4,,,3,,,0,
443,0,0,1,,,,,,1.8,,,2,,,1,,,0,
844,0,0,0,M,4B,3A,5B,4.9,4.8,-0.11,5.3,5.5,0.24,4.8,7,2.15,4.5,2,-2.51
362,0,1,0,M,,,4B,3.9,5.4,1.48,4.3,5.5,1.19,3.8,5.5,1.69,3.1,6,2.89
407,1,0,0,L,4B,4C,3B,2.8,3.8,0.94,3.4,4,0.63,2.8,3,0.24,1.8,2.7,0.9
327,0,0,0,M,4C,4B,4B,3.7,4.4,0.64,4.2,4,-0.16,3.7,5.5,1.82,2.9,4,1.09
785,0,0,1,M,,,4B,3.9,3.4,-0.52,4.3,5.5,1.19,3.8,3,-0.81,3.1,1,-2.11
887,1,0,0,L,3C,4C,3C,2,1.1,-0.92,2.6,1.5,-1.11,1.8,0,-1.76,1,0.3,-0.64
503,0,0,0,M,4A,4C,4B,3.9,2.3,-1.62,4.3,2,-2.31,3.8,3,-0.81,3.1,0.3,-2.78
851,0,0,0,M,5C,4C,4C,3.7,2.7,-1.06,4.2,3,-1.16,3.7,3,-0.68,2.9,0.5,-2.41
638,0,0,0,H,,,5C,5.1,4.7,-0.39,5.4,3,-2.37,5,5.5,0.46,4.7,5,0.3
215,0,0,1,M,4C,3A,4B,3.3,3.4,0.09,3.8,4,0.18,3.3,4,0.7,2.4,1,-1.39
355,1,0,0,M,,,3,2.9,2.6,-0.33,3.5,2,-1.46,2.9,3,0.13,1.9,1.5,-0.41
415,0,0,0,L,4B,3A,3C,2.5,3.7,1.13,3.1,5.5,2.39,2.4,3,0.6,1.4,1,-0.45
950,0,0,0,M,4A,4C,4B,3.9,4,0.08,4.3,5.5,1.19,3.8,4,0.19,3.1,1.3,-1.78
371,0,0,0,L,,,3B,2.2,2,-0.24,2.8,2,-0.82,2,2,-0.02,1.2,0,-1.16
754,0,0,0,M,,,4B,3.9,4.9,1.03,4.3,4,-0.31,3.8,5.5,1.69,3.1,4,0.89
318,0,0,1,M,4B,4B,5B,5.1,2,-3.09,5.4,2,-3.37,5,3,-2.04,4.7,0.7,-4.03
297,1,0,0,M,,,3,2.9,1.3,-1.63,3.5,2,-1.46,2.9,0,-2.87,1.9,0.3,-1.57
700,1,0,0,M,,,4B,3.9,4.7,0.83,4.3,7,2.69,3.8,5.5,1.69,3.1,1.3,-1.78
748,1,1,0,L,,,N,2.2,2.2,-0.09,2.8,4,1.18,2,0,-2.02,1.2,1,-0.16
876,0,0,0,H,,,5,6.4,4.8,-1.66,6.5,7,0.5,6.5,4,-2.51,6.3,3,-3.26
314,1,0,1,L,4B,3A,3C,2.4,1.6,-0.77,2.9,2,-0.93,2.2,2,-0.2,1.3,0,-1.27
543,1,0,0,M,4A,4B,4B,4.1,3.1,-1.09,4.6,4,-0.56,4.1,3,-1.09,3.5,1.8,-1.65
141,0,0,0,M,,,4,3.9,2.4,-1.47,4.3,3,-1.31,3.8,2,-1.81,3.1,0.7,-2.45
